Date,Close/Last,Volume,Open,High,Low
01/24/2022,128.5156,2085596,128.2188,128.7031,127.9844
01/21/2022,128.3125,2008753,127.9062,128.5,127.875
01/20/2022,127.7031,1406291,127.3438,127.9531,127.25
01/19/2022,127.6719,1862120,127.2969,127.7344,127.0625
01/18/2022,127.375,2420830,128.0312,128.0469,127.25
01/14/2022,128.1875,1557547,128.75,128.7969,128.0312
01/13/2022,128.7188,1281614,128.375,128.8438,128.25
01/12/2022,128.5781,1475098,128.4688,128.7031,128.3281
01/11/2022,128.3906,1548500,128.2656,128.4688,128.0312
01/10/2022,128.1406,1519536,128.3281,128.375,127.9375
01/07/2022,128.2969,1860208,128.625,128.75,128.0312
01/06/2022,128.5312,1720768,128.8438,129,128.4375
01/05/2022,128.8438,1629305,129.3906,129.4375,128.7969
01/04/2022,129.2812,1619770,129.5,129.5938,129.125
01/03/2022,129.4375,1359510,130.3281,130.3438,129.3906
12/31/2021,130.4688,732396,130.4375,130.5781,130.3125
12/30/2021,130.4062,761810,130.1875,130.5,130.1719
12/29/2021,130.2188,934298,130.625,130.7344,130.0938
12/28/2021,130.6094,535090,130.5938,130.7656,130.5156
12/27/2021,130.5625,455184,130.5,130.6719,130.4062
12/23/2021,130.5469,529934,130.7344,130.8125,130.4688
12/22/2021,130.7344,695219,130.75,130.8906,130.5312
12/21/2021,130.5625,974892,131.1094,131.25,130.5312
12/20/2021,131.1562,1170875,131.2188,131.5938,131.0625
12/17/2021,131.1719,1114226,131.1406,131.4375,130.9531
12/16/2021,131.0938,1417607,130.5469,131.1562,130.3594
12/15/2021,130.4688,1342208,130.625,130.7969,130.2344
12/14/2021,130.6406,972955,130.8594,130.8906,130.4688
12/13/2021,130.8438,886238,130.4062,130.9531,130.2344
12/10/2021,130.4062,1310117,130.2656,130.7188,130.0625
12/09/2021,130.3906,1352829,130.1094,130.5469,129.9844
12/08/2021,130.2031,1480005,130.3594,130.7656,129.9688
12/07/2021,130.3281,1162524,130.6875,130.7969,130.2656
12/06/2021,130.6562,1271155,131.2188,131.2656,130.6094
12/03/2021,131.4531,1999636,130.625,131.5,130.4219
12/02/2021,130.5938,1461185,131.0625,131.125,130.4531
12/01/2021,130.9219,1811686,130.7188,131.1562,130.1875
11/30/2021,130.8125,3087376,130.5312,131.3125,130.2656
11/29/2021,130.2812,1669152,130.2188,130.5625,129.875
11/26/2021,130.4375,1830806,129.0781,130.5469,128.9531
11/24/2021,129.8281,3113953,129.7656,130.1094,129.5
11/23/2021,129.7812,3247931,129.9688,130.0625,129.5938
11/22/2021,130,3052215,130.75,130.75,129.9062
11/19/2021,130.875,2060689,130.5781,131.25,130.4219
11/18/2021,130.5781,1269059,130.5156,130.6719,130.3594
11/17/2021,130.4531,1222410,130.1562,130.5938,130.0469
11/16/2021,130.1719,1360937,130.3125,130.5312,130.0938
11/15/2021,130.2969,1126231,130.625,130.8594,130.2344
11/12/2021,130.5312,1297109,130.3594,130.8125,130.3125
11/11/2021,130.3281,518447,130.7344,130.8125,130.2812
11/10/2021,130.7344,2203517,131.75,131.7812,130.5625
11/09/2021,131.8438,1548142,131.3438,131.9219,131.3281
11/08/2021,131.2969,1138222,131.7188,131.7969,131.25
11/05/2021,131.8281,1970004,131.2188,131.9531,131.0469
11/04/2021,131.3125,1667014,130.5938,131.4375,130.5625
11/03/2021,130.7656,1740179,130.9219,131.1719,130.4844
11/02/2021,130.9688,1426474,130.7344,131.1406,130.6406
11/01/2021,130.6562,1405310,130.6406,130.7969,130.3906
10/29/2021,130.7031,2479547,130.6875,130.875,130.2344
10/28/2021,130.75,2319363,130.9844,131.0781,130.6094
10/27/2021,131.1719,2345174,130.6406,131.2188,130.4375
10/26/2021,130.6094,1205937,130.5938,130.7031,130.3594
10/25/2021,130.5625,1166929,130.4844,130.6875,130.25
10/22/2021,130.3438,1880379,130,130.5,129.9844
10/21/2021,130.1875,1712710,130.4375,130.5781,129.9688
10/20/2021,130.6406,1647699,130.5156,130.75,130.25
10/19/2021,130.5625,1360666,130.6406,130.9688,130.4531
10/18/2021,130.7656,1969523,130.9062,130.9375,130.4375
10/15/2021,130.9688,1467871,131.5156,131.5312,130.9062
10/14/2021,131.5,1486221,131.3125,131.6094,131.1875
10/13/2021,131.2188,2235006,131.1094,131.4844,130.7969
10/12/2021,131.1406,1611211,130.8438,131.2344,130.7969
10/11/2021,130.8438,518953,131.0312,131.0469,130.7969
10/08/2021,131.1406,2142419,131.3438,131.5781,131.0312
10/07/2021,131.3906,1332891,131.7188,131.7812,131.3125
10/06/2021,131.7188,1661580,131.7344,131.8438,131.4062
10/05/2021,131.7344,1409980,132.0781,132.1094,131.6406
10/04/2021,132.0781,1432322,132.1875,132.2656,131.8594
10/01/2021,132.1719,1967066,131.8906,132.2188,131.75
09/30/2021,131.6094,1997671,131.6562,131.9531,131.3438
09/29/2021,131.6406,1955009,131.4375,131.7969,131.3125
09/28/2021,131.4688,2364915,131.75,131.8438,131.2188
09/27/2021,131.7969,1783650,132.0781,132.1719,131.6094
09/24/2021,132.0156,1727637,132.2031,132.4531,131.9688
09/23/2021,132.375,2061550,133.1875,133.1875,132.1562
09/22/2021,132.9844,1639927,133.1719,133.3906,132.9219
09/21/2021,133.1875,1230614,133.2188,133.3594,132.9531
09/20/2021,133.2656,1389386,132.7812,133.3594,132.75
09/17/2021,132.7812,1387745,133.0469,133.1406,132.6406
09/16/2021,133.0938,1405155,133.4219,133.4531,132.9375
09/15/2021,133.3906,1300835,133.5312,133.7031,133.2812
09/14/2021,133.6094,1520135,133.2656,133.7188,133.0938
09/13/2021,133.2969,783308,133.1406,133.3906,133.0781
09/10/2021,133.1562,1072237,133.4531,133.5,133.0625
09/09/2021,133.5,1329422,133.2031,133.6094,133.125
09/08/2021,133.25,1278640,132.9844,133.3281,132.9531
09/07/2021,133,1413326,133.3594,133.375,132.8906
09/03/2021,133.3906,1350529,133.5781,133.875,133.25
09/02/2021,133.5312,855107,133.5,133.6406,133.4375
09/01/2021,133.5,1413330,133.375,133.625,133.2188
08/31/2021,133.4531,2035486,133.5625,133.6875,133.3438
08/30/2021,133.5312,1116790,133.3281,133.6094,133.2812
08/27/2021,133.8906,2421866,133.5156,133.9688,133.4219
08/26/2021,133.5938,3055191,133.6094,133.6875,133.375
08/25/2021,133.625,3121999,133.9375,134.0469,133.5469
08/24/2021,133.9844,1851432,134.2031,134.2344,133.9219
08/23/2021,134.2188,1197522,134.1406,134.2656,133.9375
08/20/2021,134.125,1029715,134.2969,134.4375,134.0625
08/19/2021,134.3281,1370214,134.2188,134.5312,134.1719
08/18/2021,134.1406,1298410,134.2188,134.3125,133.9062
08/17/2021,134.2656,1349606,134.2344,134.6094,134.1562
08/16/2021,134.3281,1339390,134.125,134.5625,134.0625
08/13/2021,133.9531,935648,133.5156,134.0938,133.4688
08/12/2021,133.4531,934888,133.5938,133.7812,133.4062
08/11/2021,133.5781,1662643,133.5156,133.9062,133.2969
08/10/2021,133.5469,1168140,133.7031,133.8594,133.4688
08/09/2021,133.7812,1118591,133.9062,134.2031,133.6562
08/06/2021,134,1508849,134.4219,134.4688,133.8906
08/05/2021,134.5,1211810,134.8281,134.9062,134.3906
08/04/2021,134.8281,1689053,134.9844,135.4375,134.625
08/03/2021,135.0156,1032073,134.9062,135.1875,134.7812
08/02/2021,135,1335264,134.5312,135.1562,134.4531
07/30/2021,134.4531,1668624,134.1875,134.5938,134.1875
07/29/2021,134.2188,1321356,134.4531,134.5,134.0938
07/28/2021,134.2656,1502085,134.3906,134.5625,134.0781
07/27/2021,134.4688,1165902,134.1094,134.5625,134.0938
07/26/2021,134.2031,1040067,134.1875,134.5938,134.0625
