Date,Open,High,Low,Close,Adj Close,Volume
2021-09-16,0.250000,0.255000,0.240000,0.245000,0.245000,2332325
2021-09-17,0.245000,0.250000,0.240000,0.240000,0.240000,1772774
2021-09-20,0.240000,0.240000,0.230000,0.230000,0.230000,1138526
2021-09-21,0.225000,0.235000,0.220000,0.235000,0.235000,1687021
2021-09-22,0.225000,0.230000,0.225000,0.230000,0.230000,1752331
2021-09-23,0.235000,0.240000,0.235000,0.235000,0.235000,810528
2021-09-24,0.235000,0.235000,0.235000,0.235000,0.235000,0
2021-09-27,0.235000,0.235000,0.235000,0.235000,0.235000,0
2021-09-28,0.220000,0.225000,0.215000,0.220000,0.220000,6355440
2021-09-29,0.220000,0.225000,0.215000,0.215000,0.215000,4959911
2021-09-30,0.215000,0.235000,0.215000,0.230000,0.230000,5045607
2021-10-01,0.225000,0.230000,0.220000,0.220000,0.220000,2000336
2021-10-04,0.220000,0.225000,0.215000,0.215000,0.215000,2699575
2021-10-05,0.215000,0.220000,0.215000,0.215000,0.215000,1797436
2021-10-06,0.215000,0.225000,0.215000,0.220000,0.220000,2502311
2021-10-07,0.220000,0.225000,0.220000,0.220000,0.220000,489653
2021-10-08,0.225000,0.245000,0.225000,0.235000,0.235000,6904519
2021-10-11,0.240000,0.245000,0.235000,0.235000,0.235000,2367312
2021-10-12,0.235000,0.235000,0.225000,0.225000,0.225000,1369725
2021-10-13,0.225000,0.235000,0.222500,0.235000,0.235000,4317880
2021-10-14,0.230000,0.240000,0.230000,0.240000,0.240000,1159852
2021-10-15,0.240000,0.245000,0.235000,0.240000,0.240000,1096686
2021-10-18,0.240000,0.245000,0.230000,0.230000,0.230000,2144697
2021-10-19,0.230000,0.235000,0.225000,0.235000,0.235000,2022944
2021-10-20,0.230000,0.235000,0.227500,0.230000,0.230000,1171617
2021-10-21,0.230000,0.230000,0.225000,0.225000,0.225000,1351804
2021-10-22,0.225000,0.230000,0.225000,0.225000,0.225000,1072014
2021-10-25,0.230000,0.230000,0.220000,0.220000,0.220000,1955204
2021-10-26,0.225000,0.230000,0.220000,0.225000,0.225000,1984341
2021-10-27,0.225000,0.230000,0.225000,0.225000,0.225000,413381
2021-10-28,0.225000,0.227500,0.220000,0.220000,0.220000,2390447
2021-10-29,0.220000,0.225000,0.215000,0.215000,0.215000,2811812
2021-11-01,0.220000,0.220000,0.210000,0.210000,0.210000,6022479
2021-11-02,0.210000,0.217500,0.210000,0.215000,0.215000,1517710
2021-11-03,0.210000,0.220000,0.210000,0.210000,0.210000,1009507
2021-11-04,0.210000,0.215000,0.205000,0.205000,0.205000,1610883
2021-11-05,0.205000,0.207500,0.190000,0.190000,0.190000,6780032
2021-11-08,0.195000,0.205000,0.190000,0.200000,0.200000,4111743
2021-11-09,0.200000,0.210000,0.200000,0.200000,0.200000,1920240
2021-11-10,0.200000,0.205000,0.195000,0.200000,0.200000,2146491
2021-11-11,0.200000,0.200000,0.190000,0.190000,0.190000,3327705
2021-11-12,0.190000,0.195000,0.190000,0.190000,0.190000,2142383
2021-11-15,0.190000,0.192500,0.185000,0.185000,0.185000,3688364
2021-11-16,0.185000,0.190000,0.185000,0.190000,0.190000,2478560
2021-11-17,0.190000,0.195000,0.185000,0.185000,0.185000,1907623
2021-11-18,0.185000,0.205000,0.185000,0.200000,0.200000,2997122
2021-11-19,0.200000,0.215000,0.190000,0.190000,0.190000,6155143
2021-11-22,0.195000,0.197500,0.190000,0.190000,0.190000,3312843
2021-11-23,0.190000,0.190000,0.170000,0.175000,0.175000,10442688
2021-11-24,0.170000,0.177500,0.155000,0.165000,0.165000,7902816
2021-11-25,0.165000,0.180000,0.165000,0.165000,0.165000,5372676
2021-11-26,0.170000,0.175000,0.160000,0.165000,0.165000,4172970
2021-11-29,0.160000,0.170000,0.155000,0.165000,0.165000,6143823
2021-11-30,0.175000,0.180000,0.170000,0.170000,0.170000,1758532
2021-12-01,0.170000,0.175000,0.165000,0.165000,0.165000,1136507
2021-12-02,0.165000,0.175000,0.165000,0.165000,0.165000,2240130
2021-12-03,0.165000,0.170000,0.165000,0.170000,0.170000,1133537
2021-12-06,0.165000,0.165000,0.150000,0.150000,0.150000,4699783
2021-12-07,0.170000,0.180000,0.160000,0.175000,0.175000,8554153
2021-12-08,0.180000,0.185000,0.175000,0.180000,0.180000,3284413
2021-12-09,0.180000,0.185000,0.175000,0.175000,0.175000,556757
2021-12-10,0.180000,0.180000,0.170000,0.180000,0.180000,533495
2021-12-13,0.180000,0.180000,0.170000,0.170000,0.170000,925822
2021-12-14,0.170000,0.170000,0.165000,0.165000,0.165000,1586779
2021-12-15,0.165000,0.170000,0.165000,0.165000,0.165000,654853
2021-12-16,0.170000,0.170000,0.165000,0.165000,0.165000,510854
2021-12-17,0.170000,0.170000,0.162500,0.170000,0.170000,1272548
2021-12-20,0.170000,0.170000,0.160000,0.165000,0.165000,531223
2021-12-21,0.165000,0.165000,0.160000,0.165000,0.165000,2443919
2021-12-22,0.160000,0.170000,0.160000,0.160000,0.160000,1085979
2021-12-23,0.165000,0.167500,0.162500,0.165000,0.165000,1019488
2021-12-24,0.170000,0.180000,0.167500,0.170000,0.170000,1551127
2021-12-29,0.175000,0.175000,0.165000,0.165000,0.165000,1328629
2021-12-30,0.165000,0.170000,0.165000,0.165000,0.165000,125092
2021-12-31,0.170000,0.170000,0.165000,0.170000,0.170000,94636
2022-01-04,0.170000,0.180000,0.170000,0.175000,0.175000,1426113
2022-01-05,0.175000,0.175000,0.170000,0.175000,0.175000,458633
2022-01-06,0.175000,0.175000,0.170000,0.170000,0.170000,1914545
2022-01-07,0.170000,0.175000,0.170000,0.170000,0.170000,322710
2022-01-10,0.170000,0.175000,0.165000,0.175000,0.175000,903502
2022-01-11,0.170000,0.175000,0.165000,0.170000,0.170000,859159
2022-01-12,0.170000,0.170000,0.165000,0.165000,0.165000,306832
2022-01-13,0.165000,0.175000,0.165000,0.170000,0.170000,1760036
2022-01-14,0.170000,0.175000,0.165000,0.175000,0.175000,1413084
